C,C,C,C,C,C,W,R,R,R,RN,R,R,R,W,SL,S,W,W,W,B,B,B,B,B,B,0,C = conservatory
C,C,C,C,C,CR,W,RL,R,R,R,R,R,RR,W,S,S,W,W,W,B,B,B,BN,B,B,1,K = Kitchen
C,C,C,C,C,C,W,W,W,W,W,W,W,W,W,S,S,W,W,W,W,B,B,B,B,B,2,B = Ballroom
C,C,C,C,C,C,W,X,X,X,X,X,X,X,W,S,S,S,S,W,W,B,B,B,B,B,3,R = Billiard Room
C,C,CN,C,C,C,W,X,X,X,X,X,X,X,W,SL,S,S,S,W,W,B,B,B,B,B,4,L = Library
C,C,C,C,C,C,W,X,X,X,X,X,X,X,W,S,SN,S,S,W,W,W,B,BD,B,B,5,S= Study
C,C,C,C,C,CR,W,X,X,X,X,X,X,X,W,S,S,S,S,W,W,W,W,W,W,W,6,D = Dining Room
C,C,C,C,W,W,W,X,X,X,X,X,X,X,W,S,S,S,W,W,H,H,BU,H,H,H,7,O = Lounge
C,C,C,CD,W,W,W,X,X,X,X,X,X,X,W,W,W,W,W,W,H,H,H,H,H,H,8,H = Hall
W,W,W,W,W,W,W,X,X,X,X,X,X,X,W,L,LU,W,W,W,HL,H,H,HN,H,H,9,X = Closet
K,K,K,K,K,K,W,X,X,X,X,X,X,X,W,L,L,W,W,W,H,H,H,H,BD,H,10,
K,K,K,K,K,K,W,W,W,W,W,W,W,W,W,L,L,L,L,W,W,W,W,W,W,W,11,
K,K,KN,K,K,K,W,D,D,D,DU,D,D,D,W,L,L,L,L,W,W,W,OU,O,O,O,12,
K,K,K,K,K,K,W,DL,D,D,D,D,D,D,W,LL,L,L,L,W,W,W,O,O,O,O,13,
K,K,K,K,K,K,W,D,D,D,D,D,D,D,W,L,L,L,L,W,W,W,O,O,O,O,14,
K,K,K,K,W,W,W,D,D,D,DN,D,D,D,W,L,L,L,LR,W,W,W,O,O,O,O,15,
K,K,K,K,W,D,D,D,D,D,D,D,D,DR,W,L,L,L,L,W,W,W,O,O,O,O,16,
K,K,K,KR,W,D,D,D,D,D,D,D,D,D,W,L,LN,L,L,W,W,W,O,O,O,O,17,
